        antecedents     consequents  antecedent support  consequent support   support  confidence      lift  representativity  leverage  conviction  zhangs_metric   jaccard  certainty  kulczynski
38             (x8)            (x7)            0.556322            0.549425  0.482759    0.867769  1.579411               1.0  0.177101    3.407471       0.826844  0.774908   0.706527    0.873215
39             (x9)            (x7)            0.475862            0.549425  0.418391    0.879227  1.600267               1.0  0.156940    3.730759       0.715659  0.689394   0.731958    0.820367
40             (x7)            (x9)            0.549425            0.475862  0.418391    0.761506  1.600267               1.0  0.156940    2.197701       0.832502  0.689394   0.544979    0.820367
41             (x7)           (x15)            0.549425            0.400000  0.333333    0.606695  1.516736               1.0  0.113563    1.525532       0.756122  0.541045   0.344491    0.720014
42            (x15)            (x7)            0.400000            0.549425  0.333333    0.833333  1.516736               1.0  0.113563    2.703448       0.567816  0.541045   0.630102    0.720014
43            (x16)            (x7)            0.618391            0.549425  0.395402    0.639405  1.163771               1.0  0.055643    1.249532       0.368766  0.511905   0.199700    0.679535
44             (x7)           (x16)            0.549425            0.618391  0.395402    0.719665  1.163771               1.0  0.055643    1.361263       0.312322  0.511905   0.265388    0.679535
45             (x9)            (x8)            0.475862            0.556322  0.441379    0.927536  1.667266               1.0  0.176647    6.122759       0.763569  0.747082   0.836675    0.860462
46             (x8)            (x9)            0.556322            0.475862  0.441379    0.793388  1.667266               1.0  0.176647    2.536828       0.902040  0.747082   0.605807    0.860462
47            (x15)            (x8)            0.400000            0.556322  0.347126    0.867816  1.559917               1.0  0.124598    3.356522       0.598234  0.569811   0.702073    0.745892
48             (x8)           (x15)            0.556322            0.400000  0.347126    0.623967  1.559917               1.0  0.124598    1.595604       0.809011  0.569811   0.373278    0.745892
49            (x16)            (x8)            0.618391            0.556322  0.386207    0.624535  1.122615               1.0  0.042183    1.181677       0.286216  0.489796   0.153745    0.659375
50             (x8)           (x16)            0.556322            0.618391  0.386207    0.694215  1.122615               1.0  0.042183    1.247965       0.246176  0.489796   0.198696    0.659375
51             (x9)           (x16)            0.475862            0.618391  0.340230    0.714976  1.156188               1.0  0.045961    1.338866       0.257735  0.451220   0.253099    0.632581
52            (x10)           (x14)            0.496552            0.570115  0.314943    0.634259  1.112511               1.0  0.031851    1.175382       0.200880  0.418960   0.149213    0.593339
53            (x10)           (x16)            0.496552            0.618391  0.344828    0.694444  1.122986               1.0  0.037765    1.248903       0.217534  0.447761   0.199297    0.626033
54            (x12)           (x13)            0.393103            0.480460  0.319540    0.812865  1.691849               1.0  0.130670    2.776293       0.673806  0.576763   0.639807    0.738969
55            (x13)           (x12)            0.480460            0.393103  0.319540    0.665072  1.691849               1.0  0.130670    1.812020       0.787101  0.576763   0.448130    0.738969
56            (x12)           (x14)            0.393103            0.570115  0.363218    0.923977  1.620685               1.0  0.139104    5.654642       0.631041  0.605364   0.823154    0.780537
57            (x14)           (x12)            0.570115            0.393103  0.363218    0.637097  1.620685               1.0  0.139104    1.672337       0.890882  0.605364   0.402034    0.780537
58            (x13)           (x14)            0.480460            0.570115  0.406897    0.846890  1.485472               1.0  0.132979    2.807687       0.629044  0.632143   0.643835    0.780300
59            (x14)           (x13)            0.570115            0.480460  0.406897    0.713710  1.485472               1.0  0.132979    1.814732       0.760234  0.632143   0.448954    0.780300
60         (x1, x8)            (x3)            0.335632            0.581609  0.314943    0.938356  1.613379               1.0  0.119736    6.787229       0.572248  0.522901   0.852664    0.739929
61         (x3, x8)            (x1)            0.494253            0.429885  0.314943    0.637209  1.482278               1.0  0.102471    1.571471       0.643331  0.516981   0.363653    0.684915
62         (x1, x3)            (x8)            0.347126            0.556322  0.314943    0.907285  1.630863               1.0  0.121829    4.785386       0.592500  0.535156   0.791030    0.736700
63             (x1)        (x3, x8)            0.429885            0.494253  0.314943    0.732620  1.482278               1.0  0.102471    1.891494       0.570697  0.516981   0.471317    0.684915
64         (x7, x8)            (x3)            0.482759            0.581609  0.429885    0.890476  1.531056               1.0  0.149108    3.820090       0.670588  0.677536   0.738226    0.814803
